snapshot_time,trade_time,direction,price,volume
2026-06-09 08:44:29,2026-06-09T08:43:11Z,buy,11076891665.0000000000000000,0.0027610000000000
2026-06-09 08:44:29,2026-06-09T08:41:52Z,buy,11076891665.0000000000000000,0.0009010000000000
2026-06-09 08:44:29,2026-06-09T08:40:12Z,sell,11083783394.0000000000000000,0.0004120000000000
2026-06-09 08:44:29,2026-06-09T08:40:12Z,buy,11083783307.0000000000000000,0.0006120000000000
2026-06-09 08:44:29,2026-06-09T08:38:38Z,sell,11083783307.0000000000000000,0.0005640000000000
2026-06-09 08:44:29,2026-06-09T08:38:06Z,buy,11076891664.0000000000000000,0.0016660000000000
2026-06-09 08:44:29,2026-06-09T08:38:06Z,buy,11076891664.0000000000000000,0.0000210000000000
2026-06-09 08:44:29,2026-06-09T08:37:11Z,buy,11076891664.0000000000000000,0.0001170000000000
2026-06-09 08:44:29,2026-06-09T08:36:46Z,buy,11070000001.0000000000000000,0.0012240000000000
2026-06-09 08:44:29,2026-06-09T08:36:06Z,buy,11070000100.0000000000000000,0.0004100000000000
2026-06-09 08:44:29,2026-06-09T08:35:22Z,sell,11083783339.0000000000000000,0.0009010000000000
2026-06-09 08:44:29,2026-06-09T08:33:14Z,sell,11097566722.0000000000000000,0.0000970000000000
2026-06-09 08:44:29,2026-06-09T08:33:01Z,sell,11097566749.0000000000000000,0.0026690000000000
2026-06-09 08:44:29,2026-06-09T08:31:28Z,buy,11080000000.0000000000000000,0.0008950000000000
2026-06-09 08:44:29,2026-06-09T08:31:17Z,buy,11081157205.0000000000000000,0.0180460000000000
2026-06-09 08:44:29,2026-06-09T08:30:29Z,buy,11082000000.0000000000000000,0.0001430000000000
2026-06-09 08:44:29,2026-06-09T08:26:56Z,buy,11088838393.0000000000000000,0.0002920000000000
2026-06-09 08:44:29,2026-06-09T08:26:46Z,buy,11088838383.0000000000000000,0.0010330000000000
2026-06-09 08:44:29,2026-06-09T08:26:30Z,buy,11086750844.0000000000000000,0.0000780000000000
2026-06-09 08:44:29,2026-06-09T08:25:50Z,sell,11100179722.0000000000000000,0.0245650000000000
2026-06-09 08:44:29,2026-06-09T08:25:40Z,sell,11094414349.0000000000000000,0.0005940000000000
2026-06-09 08:44:29,2026-06-09T08:25:40Z,sell,11094414349.0000000000000000,0.0036940000000000
2026-06-09 08:44:29,2026-06-09T08:24:55Z,sell,11094414349.0000000000000000,0.0005990000000000
2026-06-09 08:44:29,2026-06-09T08:24:49Z,buy,11098689219.0000000000000000,0.0005990000000000
2026-06-09 08:44:29,2026-06-09T08:23:52Z,sell,11100179722.0000000000000000,0.0020120000000000
2026-06-09 08:44:29,2026-06-09T08:23:40Z,buy,11084977486.0000000000000000,0.0000340000000000
2026-06-09 08:44:29,2026-06-09T08:23:05Z,sell,11081157205.0000000000000000,0.0156470000000000
2026-06-09 08:44:29,2026-06-09T08:22:41Z,buy,11070000001.0000000000000000,0.0006560000000000
2026-06-09 08:44:29,2026-06-09T08:22:41Z,sell,11070000001.0000000000000000,0.0002280000000000
2026-06-09 08:44:29,2026-06-09T08:22:14Z,sell,11100179722.0000000000000000,0.0013330000000000
2026-06-09 08:44:29,2026-06-09T08:22:04Z,buy,11100179721.0000000000000000,0.0005910000000000
2026-06-09 08:44:29,2026-06-09T08:21:12Z,buy,11082349040.0000000000000000,0.0004270000000000
2026-06-09 08:44:29,2026-06-09T08:21:12Z,sell,11071459845.0000000000000000,0.0005730000000000
